Tupi,Tradução,Citação
Aîmoîa'ok.,Apartei-os.,"VLB, I, 130"
Xe pindá-porangeté t'opindaîtykyne endébo...,Meu anzol muito ditoso há de pescar para ti.,"Anch., Poemas, 152"
...Asé re'õmbûera pu'am-pabine?,Nossos cadáveres levantar-se-ão todos?,"Ar., Cat., 61, 1686"
"...T'asó aîpó nhe'enga mopó, xe boîá reŷnhangetábo.","Hei de ir cumprir essas palavras, juntando muitos dos meus servos.","Anch., Teatro, 60"
Memeté a'e morero'arupîara.,"E, principalmente, eles são adversários de agressores.","Léry, Histoire, 357"
Mbobype îasy kanhemi koîpó akaîu 'aîubamo...?,Quantas vezes a lua desapareceu ou o caju madurou?,"Ar., Cat., 104v"
"...I nem-eté, i tuîuketé, tasoka, ura remimongûyamone.","Serão fedorentos, serão muito podres, corroídos de vermes e de bernes.","Ar., Cat., 164"
Aó-kereîûá kûarasy sosé oberaba'e nungara...,Semelhante a uma roupa de querejuá que brilha mais que o sol.,"Ar., Cat., 37v"
Xe ypy-ten.,Eu tenho a base fixa.,"VLB, I, 140"
amỹîoka,"casas do lado, vizinhança","Anch., Arte, 41"
Aîerok kori seséne.,"Mudarei de nome hoje, por causa deles.","Anch., Teatro, 64"
Asó mamõ.,Vou para fora.,"VLB, I, 141"
marãngoty suí?,de que parte? de que lado? (mais específico que mamõ suí? - donde?),"VLB, I, 95"
I xy na sugûyî tiruã...,Sua mãe nem sequer sangrou.,"Anch., Poemas, 184"
Arasó-nhemim.,Levei-o secretamente.,"VLB, II, 114"
...Akûeî tabusu Îerusalém 'îaba pora mombebaûama kuapa nhẽ aîpó i 'éû.,Disse isso conhecendo o futuro esmagamento dos habitantes daquela cidade chamada Jerusalém.,"Ar., Cat., 61v-62"
...Santa Maria o membyrá-kakara omo'a-mo'ang...,Santa Maria está pensando na aproximação de seu parto.,"Ar., Cat., 9"
Oroîeysyrung.,Pusemo-nos em fila.,"VLB, II, 101"
Aîkutuk.,Feri-o.,"VLB, I, 137"
I abaeté sepîaka ixébo...,É para mim terrível vê-los...,"Anch., Teatro, 26"
Xe îagûareteporu!,Eu sou um jaguaretê comedor de gente!,"Anch., Teatro, 66"
N'aîmo'angi nde só.,"Não entendo tua ida, não entendo que tu vás.","VLB, II, 110"
Aîatapy.,Fiz fogo.,"VLB, I, 140"
Aîusã-moín.,Armei os laços.,"VLB, I, 41"
Ebokûeî i xóû.,Eis que aí ele vai.,"VLB, I, 109"
Xe mondá.,Eu sou ladrão.,"VLB, II, 17"
Asó xe ruba rapépe.,Vou ao caminho de meu pai.,"VLB, II, 111"
Aîabyky.,Penteio-o.,"VLB, I, 32"
...Okakar kó xe rekoberama re'a...,Eis que se aproxima minha vida futura.,"Ar., Cat., 158v"
...Amõ seba'e irũmo nhẽ.,Com algumas coisas que são saborosas.,"Ar., Cat., 111"
"Oroapy kori, îandu!","Queimo-te hoje, como de costume!","Anch., Teatro, 44"
Aîkytyngok.,Limpo-o de ferrugem.,"VLB, II, 22"
Aîmoka'ẽ,Moqueei-o.,"VLB, II, 134"
T'îasó sapépe sobaîtĩamo...,Vamos em seu caminho para encontrá-lo.,"Ar., Cat., 53v"
Tekatunheté rakûé endé hegûy!,"Ah, que enfadonho és tu, de fato!","VLB, II, 54"
Nde poxy-potar-a'ub. T'eresó rõ nde ratápe...,"Tu queres ser mau. Hás de ir, pois, para teu fogo.","Anch., Teatro, 48"
Xe rygûasu.,Eu estou muito úmido.,"VLB, I, 154"
kopisaba 'ybapaara,"(lit., o arrancar todos os paus do lugar de carpir) roçado antes de se queimar","VLB, II, 107"
T'oré angaturãne... oré îekosubagûama ri.,Que sejamos dignos do lugar futuro de nosso regozijo.,"Ar., Cat., 14v"
Eresendu-potá-katupe terapûanaíba abá remimombe'u...?,Quiseste muito ouvir difamações que alguém profere?,"Ar., Cat., 108v"
xe kunumĩ-era,"meu nome de meninice, meu nome de infância","Anch., Arte, 9v"
"...Sobaké Anhanga onheŷnhanga, i mokona motá...","Diante deles os diabos ajuntando-se, querendo engoli-los.","Ar., Cat., 161v"
Se'õagûera resépe Tupã tuba nhyrõngaturamo asébo?,Por sua morte Deus-Pai bem perdoa a nós?,"Anch., Dial. da Fé, 164"
Xe tupinambagûasu.,Eu sou o grande tupinambá.,"Anch., Poemas, 114"
morotinga,brancura,"Anch., Arte, 50"
...Yby apyterype tatá-amororé ogûeba'erame'yma monhanga...,"No meio da terra fazendo um fogo inextinguível, que não se apagará.","Ar., Cat., 38"
O sy rygépe sekó remebé Tupã i mongaraíbi.,"Durante a estada dele no ventre de sua mãe, Deus o santificou.","Ar., Cat., 6"
Xe 'apititing.,Eu sou malhado na cabeça.,"VLB, II, 29"
Xe apaxixã.,Eu fiz confusão.,"VLB, II, 71"
T'osyk esapy'a xe rekó.,Que acabem logo meus afazeres.,"Ar., Cat., 110v"
Abá oînhe'ẽmonhã-monhangyba'e.,O que fica urdindo as palavras de alguém.,"Anch., Diál. da Fé, 215"
Oîopyterybo rupi aîmombok.,Parti-o pelo meio.,"VLB, II, 73"
Na sekasaba kuabe'yma ruã.,Não que não soubesse o que buscava.,"Ar., Cat., 54"
Apŷaba abá mombegûara oîmosãî taba rupi...,Espalham pelas aldeias homens que pregam às pessoas.,"Valente, Cantigas, IV, in Ar., Cat., 1618"
"-Ké muru ruri obébo? -Irõ, n'i ate'ym-angáî! - Não é que o maldito veio voando?","Portanto, não é, de modo nenhum, preguiçoso!","Anch., Teatro, 24"
...T'arasó pá xe ratápe...,Hei de levar todos para meu fogo.,"Anch., Poesias, 269"
...Tupã mongetá resé îandé mbo'ebo nhẽ.,Para nos ensinar a orar a Deus.,"Ar., Cat., 25"
Marã îasûaramo ahẽ kûepe se'õ mã...?,"Ah, como será a morte do fulano por aí?","Ar., Cat., 101v"
"Anhemombe'u... ndebe, pa'i abaré setá nhẽ xe angaîpagûera resé...","Confesso-me a ti, senhor padre, por causa do meu pecar muitas vezes.","Ar., Cat., 20, 20v"
Xe pyte'em.,Eu sou coxo.,"VLB, I, 85; II, 31"
Aamyniîu-poban.,Fiei o algodão.,"VLB, I, 138"
Aîpó te'õ îanondé irã amõ abá-angaîpabeté Anti-Cristo seryba'e ruri onhemoetébo...,"Antes dessas mortes, um certo homem muito mau, chamado Anti-Cristo, virá, exaltando-se.","Ar., Cat., 160"
"I xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra.","Para ele trouxeram, como oferendas, ouro, resina dura que recende (isto é, incenso) e mirra.","Ar., Cat., 3"
"...Saraûaîa rur'iré, îamombá taba îandune.","Após vir Sarauaia, destruiremos a aldeia, como de costume.","Anch., Teatro, 24"
Akaru.,Comi.,"VLB, I, 77"
...Pabẽ abá tetiruã Cristo raûsuba bé ogûeromanõba'epûera...,Todos e quaisquer homens que morreram com o amor a Cristo.,"Ar., Cat., 161v"
"...Mba'e-akuba, mba'e-robeté tukutuku okûapa.","Estando a destilar coisa quente, coisa muito amarga.","Ar., Cat., 164"
"Otĩ kûarasy osema, nde beraba robaké...","Envergonha-se o sol de nascer, diante de teu brilho.","Valente, Cantigas, IV, in Ar., Cat., 1618"
Mba'e 'u-eté-eté robaîara oîá nhote mba'e 'u.,O oposto do comer demais é comer somente o suficiente.,"Ar., Cat., 18"
okara koty,"de fora, do lado da rua","VLB, I, 92"
"Penheangerekó amõ 'ara pupé te'õ pe rokena motaka turagûama resé é, nhemosako'ie'yma pupé, pe pokosupa...","Pensai que, algum dia, a morte virá para bater em vossas portas, em despreparo, surpreendendo-vos.","Ar., Cat., 158"
Tekokatu-eté rerekoara onherane'ymba'e...,O que tem a bem-aventurança é o que é manso.,"Ar., Cat., 18v"
panakũ-sama,"corda de panacu, a que vai pela cabeça daquele que o leva","VLB, I, 82"
I marangatu supi é i mombe'upyra rekóreme é...,Ele é bom quando o que é contado é mesmo verdade.,"Ar., Cat., 67v"
Oîmosem Paraíso Terreal sekoaba suí.,"Expulsou-o do Paraíso Terreal, sua morada.","Anch., Doutr. Cristã, I, 163"
Ixé anhõ asó.,Eu vou só.,"VLB, II, 118"
Îandé moetébo apŷaba nhemosaraî.,Para nos honrar os índios fazem festa.,"Anch., Teatro, 24"
mba'e-apina,coisa rapada,"VLB, II, 32"
itá-kûarusu,furna em penedos ou rochas,"VLB, I, 145"
Eîmoingó-puku-katu kó taba Tupã resé.,Faze estar muito longamente esta aldeia em Deus.,"Anch., Poemas, 174"
Xe apekũ-mombyk ikó 'ybá.,Trava-me a língua esta fruta.,"VLB, II, 136"
...Purgatório pupé osoba'e...,as que vão para o purgatório,"Ar., Cat., 136, 1686"
A'amĩote.,Estou em pé (sem me mexer).,"VLB, II, 93"
Xe pó-py'i emonã gûitekóbo.,Eu tenho mãos rápidas para assim agir.,"VLB, I, 34"
Nde membyrápe erimba'e nde remimotarybo?,Tu deste à luz por tua vontade?,"Anch., Doutr. Cristã, II, 97"
Eîerok moxy resé...,Arranca-te o nome por causa dos malditos.,"Anch., Teatro, 46"
îuru-py-pyk,"ficar pondo comida, aos poucos, na boca de (p.ex., na boca de um doente)","VLB, II, 124"
Na xe rosangi.,Eu não tenho resistência.,"VLB, II, 10"
Tépe?,E finalmente?,"VLB, I, 139"
Nd'e'i te'e îandé rubypyrama monhanga îandé nhemonhangabamo.,Por isso mesmo fez nosso pai primeiro como nosso progenitor.,"Anch., Doutr. Cristã, I, 193"
akanga îepotasaba,as juntas da cabeça,"VLB, I, 84"
O'u-eté-eté ahẽ mba'e.,Ele comeu demais aquela coisa.,"VLB, II, 118"
...og uba resé,por causa de seu próprio pai,"Anch., Poemas, 120"
Xe apẽ.,Eu sou torto.,"VLB, II, 133"
Aporoerekó.,Rejo pessoas.,"VLB, II, 100"
Opá i îeakypûereroîebyri...,Todos eles voltaram para trás.,"Ar., Cat., 54v"
mosanga moeîrabyîara,remédio portador de cura,"Anch., Teatro, 38"
i îukapyra,"o que é morto, o que deve ser morto, o morto","Anch., Arte, 19v"
Osómo ra'emo.,Diz-se que iria.,"Anch., Arte, 57v"
E'i tenhẽ abaré Tupã resé serobaka potara'upa.,Em vão o padre quer fazê-la voltar para Deus.,"Anch., Teatro, 148"
Ta pe putuẽngatuté irã... pe îemokane'õ ré.,Haveis de bem recobrar o fôlego após vos cansardes.,"Ar., Cat., 170"
A'ereme îasytatá o apakuîamo.,Então as estrelas cairão pouco a pouco.,"Ar., Cat., 159v"
Ene'ĩ t'asóne!,"Eia, que eu vá!","Anch., Arte, 56v"
E'i nhẽpe oîkóbone?,Há de estar (assim como está)?,"VLB, I, 92"
...Tupã nhemoŷrõ nhẽ ereîxûé nde îoupéne.,A ira de Deus atrairás para ti mesmo.,"Ar., Cat., 157"
"...Amõ re'õneme, opytaba'e nd'e'ikatuî omendá o mendasabambyra asykûera amõ resé.","No caso de morrer algum, o que fica não pode casar-se com algum irmão ou irmã de seu cônjuge falecido.","Ar., Cat., 131"
i kuapamoindaba,seu ferrete,"VLB, II, 32"
Îori xe rekomonhanga...,Vem para me governar...,"Valente, Cantigas, VII, in Ar., Cat., 1618"
Aîaparaîtyk.,Derrubei-o.,"VLB, I, 95"
"...Pe resangá, pe angaîpaba rapirõmo.","Chorai continuamente, pranteando vossos pecados.","Ar., Cat., 85v"
Herodes meémo ikó oîme'eng te'õ supé i angaîpaba kuapa...,"Herodes teria entregado este à morte, conhecendo suas maldades.","Ar., Cat., 59v"
...kó Paranambukygûara,estes habitantes de Pernambuco,"Anch., Poesias, 269"
Turusueté - Ele é maior. I porangeté,Ele é mais bonito.,"VLB, II, 35"
Eîori t'eremondó xe suí tekoangaîpaba.,Vem para que faças ir de mim a maldade.,"Anch., Poemas, 128"
Tupã nhe'engabŷagûera îandé i moepykatûagûama resé.,Para bem pagarmos nós a transgressão da palavra de Deus.,"Ar., Cat., 11"
Kó nhõ anosẽ îepé moxy suí...,"Na verdade, somente estas retirei dos malditos.","Anch., Poemas, 150"
"...Na xe remiaûsuba ruã, xe remirekó a'e.","Não é minha escrava, mas, sim, minha esposa.","Ar., Cat., 95"
xe roŷpyre'yma,minha ausência,"VLB, I, 48"
otĩba'e,o que se envergonha,"VLB, II, 144"
"Eva, îandé sy-ypy, onhemomotareté 'ybá-poranga resé, mboîa nhe'enga rupi...","Eva, nossa mãe primeira, atraiu-se muito pelo belo fruto, de acordo com a palavra da serpente.","Anch., Poemas, 178"
Erenhemoa'ypupukype nde poropotaramo?,"Tu tiveste polução, tendo desejos sensuais?","Anch., Doutr. Cristã, II, 90"
Asaûsub-a'ub.,Amo-o em vão.,"Anch., Arte, 35; VLB, II, 127"
...I akanga t'ereîoká.,Que quebres suas cabeças.,"Anch., Teatro, 46"
"Te'õ mbasembápe, Tupã Tuba pyri Îesu nde rupiri...","Quando chegou a morte, para junto de Deus-Pai Jesus fez-te subir.","Anch., Poemas, 126"
"Kó xe 'anga, nde rusaba, nde rupabamo t'oîkó.","Eis que minh' alma, à qual tu vens, há de estar como teu leito.","Anch., Poemas, 128"
"...Ogûeté suí, o uru suí, asé 'anga sẽme bé, Tupã sekomonhangi...","Tão logo ao sair a alma da gente de seu próprio corpo, seu envoltório, Deus a julga.","Ar., Cat., 159"
O ati'yba ri krusá osupi.,No seu próprio ombro levanta a cruz.,"Anch., Poemas, 122"
Oîabypemo abá Tupã nhe'enga emonã sekokuapa...?,Transgrediria o homem a palavra de Deus assim os conhecendo?,"Ar., Cat., 94v"
Ndebo toryba monhanga xe anama xe mbouri.,Para fazer-te festa minha família fez-me vir.,"Anch., Poemas, 154"
T'oú... oré moorypa...,Que venha para nos fazer felizes.,"Anch., Teatro, 118"
Eîori oré rekyîa...,Vem para nos arrebatar.,"Anch., Teatro, 122"
O asykûera resé nd'e'ikatuî abá omendá.,Com seus irmãos não pode ninguém se casar.,"Ar., Cat., 113v"
I nhe'engasy n'opabi.,Suas palavras ásperas não cessam.,"Anch., Teatro, 148"
...Îesu nde rupiri...,Jesus fez-te subir.,"Anch., Poemas, 126"
"Nde îosuí nde mba'e resé abá mondarõ nde i potare'yma îabé, teumẽ abá mba'e resé é mondarõmo...","Assim como tu não queres que alguém furte de ti tuas coisas, guarda-te de furtar as coisas de alguém.","Ar., Cat., 107v"
momboîtara,"o que ameaça, ameaçador","Anch., Teatro, 156"
Anhanga pé oîemoŷrõmo ....,Irritando-se com o diabo.,"Anch., Poemas, 90"
'y-mombîasaba,"instrumento de desvio de água, sangradouro","VLB, II, 112"
"...O karûagûera, o sabeypó-ypoagûera repyramo...","Como pagamento de suas antigas comilanças, de suas antigas bebedeiras.","Ar., Cat., 164"
Mba'e-tepe peseká kó xe retama pupé?,Mas que procurais nesta minha terra?,"Anch., Teatro, 28"
"Ybyrá karamemûã, ygarusu nungara... pupé i mo'aruká.","Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio.","Ar., Cat., 41v"
Erepo'ẽpe nde rapixara rapupé resé?,Meteste a mão nas partes erógenas de teu companheiro?,"Ar., Cat., 105v"
"...Asykyîé, aryryî!","Tenho medo, tremo!","Anch., Teatro, 62"
'y-pa'ũ,"intervalo de água, ilha","VLB, II, 9"
Kó é aîkó.,Eis que aqui estou.,"VLB, I, 109"
"Xe rybyt, nde nhyrõ xebo...","Meu irmão, perdoa tu a mim.","Anch., Teatro, 46"
Nd'e'i te'e yby asé purungaba tiruã aîpoba'e re'õmbûera reroŷrõmo...,"Por isso mesmo, até a terra que a gente pisa detesta os cadáveres daqueles.","Ar., Cat., 179-179v"
"Anga îá, angaîpabora aîuká...","Como a esses, matarei os que costumam pecar.","Anch., Teatro, 92"
T'osendu aîpó nde 'é.,Que ouçam aquilo que tu dizes.,"Anch., Teatro, 186, 2006"
Ixé aé ã a'é umûã nakó peẽme.,"Eu mesmo, como se viu, já vos disse isso.","Ar., Cat., 54v"
Nd'e'i te'e moxy onhana... oîoa'o-marangatûabo...,"Por isso mesmo as malditas correm, insultando-se muito umas às outras.","Anch., Teatro, 128"
I 'ã i 'ang xe retãme xe rekoagûera ixébo.,Vem-me à memória minha vida passada em minha terra.,"VLB, II, 102"
O'ar ybype.,Caiu no chão.,"VLB, I, 72"
Arasó-îeaseî.,Levo de má vontade.,"VLB, II, 14"
eboûinga rupi,"por aí, por ali","VLB, II, 82"
O a'yra resé oputupabe'ymamo...,Com seu filho não se importando.,"Ar., Cat., 69"
Nd'e'ikatu angáî-tepe asé abá rekó-nhemima mombegûabo?,"Mas não pode a gente, de modo nenhum, contar o procedimento oculto de alguém?","Ar., Cat., 73v"
Okyr amana.,Caiu a chuva.,"VLB, I, 74"
Tekatunheté kó ahẽ mã!,"Ah, que atrevido é esse fulano!","VLB, II, 118"
"Kûesé, karaíba ri i pokoki...","Ontem, aos brancos deram combate.","Anch., Teatro, 140"
...Karaibebé îepîakukari i xupé kunumĩgûasu-porãngaturamo nhẽ.,O anjo revelou-se a ela como um rapaz muito belo.,"Ar., Cat., 31"
Anga îápe pe roka?,Como estas são vossas casas?,"Léry, Histoire, 363"
Asóp'ixéne ri?,Será que eu irei?,"VLB, II, 58"
"Quarta-feira-tanimbu-karaíba rasápe îekuakupabusu, Quaresma 'îaba nheypyrungi.","Ao passar a quarta-feira das cinzas sagradas, começa o grande jejum chamado Quaresma.","Ar., Cat., 122"
tatá-pytera,“o chupa-fogo” (nome próprio),"Anch., Teatro, 130, 2006"
i kûatiara,pintura dele,"VLB, II, 78"
i kuabypyre'yma,"o que não é conhecido, coisa secreta","VLB, II, 114"
"Sepyápe, ereîakasó...","Em reparação disso, mudaste-te de aldeia.","Anch., Teatro, 166"
Xe rekosûé-katu.,Eu sou muito longevo.,"VLB, II, 145"
Ne'ĩ bé!,Eia de novo!,"VLB, II, 60"
atá-irũ,acompanhante de caminhada,"VLB, II, 73"
Xe karaíb.,Eu estou benzido.,"VLB, I, 54"
Aîpó tekoangaîpaba robaîara nã e'i.,Os opostos daqueles pecados assim se enunciam.,"Ar., Cat., 18"
"N'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi...","Não há ali choro, não há doença, não há fome, sede também não há.","Ar., Cat., 167"
...setãme...,em sua terra,"Anch., Teatro, 122"
...Aroŷrõ tekó-poxy.,Detesto a vida má.,"Anch., Poemas, 102"
“-Peîké Tupãokype” e'i muruangaba.,“-Entrai na igreja” disse ele de modo louvável.,"VLB, II, 24"
abá-tubixaba,homem membrudo,"VLB, II, 35"
Mba'e-poxy-katupabẽ ruru-a'ub-y gûé!,Ó mesquinho repositório de muitíssimas coisas más!,"Ar., Cat., 165"
Peîkoeté pe robaîara pé.,Sede corajosos junto de vosso inimigo.,"Ar., Cat., 89"
-Mba'epe onong i akanga 'arybo? -Îuatĩ-apapûara apynha... - Que puseram sobre sua cabeça?,Uma coroa de espinhos enroscados.,"Anch., Diál. da Fé, 184"
...Og ugûy pupé xe reî...,Com seu sangue me lavou.,"Anch., Teatro, 172"
...Mosapyr morubixaba “reis” 'îaba kûarasysembaba koty suí ouryba'e...,Três chefes chamados “reis” que vêm da direção do Oriente...,"Ar., Cat., 3"
"Oîabab i xuí, seîá...","Fugiram dele, deixando-o.","Ar., Cat., 55"
...Gûaîbĩ moesãîa mbá.,...Alegrando todas as velhas.,"Anch., Poemas, 110"
Nd'e'i ymûanĩ ahẽ aoba moaûîébo.,"Ele nunca acaba de completar as roupas (lit., não se mostra ele, enfim, completando as roupas). Nd'e'i ymûanĩ osóbo. - Nunca acaba ele de ir (lit., não se mostra finalmente indo).","VLB, II, 52"
"...T'oroîkó nde ypype nhẽ, oré sumarã mondyîa.","Que estejamos perto de ti, espantando nossos inimigos.","Anch., Teatro, 122"
Ereîmoîebype kaûĩ...?,Vomitas cauim?,"Ar., Cat., 111v"
Ereîmomaranype nde mena nde reroby-potareme i amongoty eîupa...?,"Resististe a teu marido quando quis chegar-se a ti, estando deitada longe dele?","Anch., Doutr. Cristã, II, 98"
Oîkuá-katu marana...,Conhece bem as guerras.,"Anch., Teatro, 138"
Eîepe'a!,Afasta-te!,"Anch., Teatro, 32"
emonã bé,da mesma maneira,"VLB, I, 89"
...Tupã moîerekûapa...,Aplacando a Deus.,"Ar., Cat., 249"
Kori i îukáû.,Hoje o matou.,"Anch., Arte, 39v"
Ereîmombe'upe abá rekopoxŷagûera...?,Contaste a maldade de alguém?,"Ar., Cat., 108"
apûé-katu,muito longe,"Fig., Arte, 130; VLB, II, 24"
N'ererupe îyapara?,Não trouxeste foices?,"Léry, Histoire, 345"
...kûybõ oma'ẽ-nhemima...,...para cá olhando furtivamente...,"Anch., Teatro, 138"
Xe putuẽ-tuẽ.,Eu estou resfolgando.,"VLB, I, 50"
xe ruba xe monhangara,"meu pai, o que me gerou (para não haver confusão com outros parentes que também eram chamados tuba)","Anch., Cartas, 459"
...Îandé rekobé me'engara...,Doador de nossa vida.,"Anch., Poemas, 90"
Endé konipó ixé.,Tu ou eu.,"VLB, II, 60"
"Irõ, xe ratãngatu, anhanga maranyîara...","Como vês, eu sou muito forte, um diabo que domina as guerras.","Anch., Teatro, 142"
Mba'e resépe ereîkó?,Que coisa buscas?,"VLB, II, 92"
...Mba'e-memûãngatupabẽ resé i îekosubyne...,Muitíssimas coisas más eles acharão.,"Ar., Cat., 164"
E'i tenhẽ nde rerobîá...,"Em vão crêem em ti (lit., acham-se, em vão, crendo em ti).","Anch., Teatro, 40"
Ereîkópe kunhã resé... abá remiandubamo?,Fizeste sexo com uma mulher com alguém observando-o?,"Ar., Cat., 105"
kabatĩ,vespa pontuda,"VLB, I, 55"
"T'asóne, gûy!","Ó, hei de ir!","Anch., Teatro, 10"
...Seté anhõ osepîakyne.,Seu corpo somente verão.,"Ar., Cat., 46v"
'y-eté,água doce,"VLB, I, 24"
Ixé opoîuká.,Eu vos mato.,"Anch., Arte, 12"
nambi-xoré,orelhas caídas,"VLB, II, 58"
Na setáî xe angaîpaba...,Não são muitos meus pecados...,"Anch., Teatro, 76"
T'îasó xe irũnamo.,Vamos comigo.,"Anch., Arte, 23v"
T'oî'useî-katu Tupã rekó...,Que ele deseje muito a lei de Deus.,"Ar., Cat., 81v"
Xe rakubeté kó mã!,"Ah, eu estou muito quente aqui!","Anch., Teatro, 90"
Aroker aoba.,Durmo com roupa.,"Anch., Arte, 48v"
...Te'õ abé reîkéû ikó 'ara poramo oîá.,"Da mesma forma, como componente deste mundo, a morte também entrou.","Ar., Cat., 155"
Paîea'uba supé onhemotimbó-timborukaryba'e...,O que manda a um falso pajé ficar defumando a si...,"Ar., Cat., 96, 1686"
Graça semime'enga n'opabi...,A graça que ele dá não acaba.,"Ar., Cat., 5"
Ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?,Por acaso não chegava seu segundo braço ao lugar de irem os pregos?,"Ar., Cat., 89, 1686"
Osapirõ-n'asé og uba o sy kanhemagûera...,Há de prantear a gente o desaparecimento de seu pai e de sua mãe.,"Anch., Doutr. Cristã, II, 112"
Moropotara robaîara moropotare'yma.,O oposto do desejo sensual é a pureza.,"Ar., Cat., 18"
"Aûîé, kunumĩgûasu o ekó-aíbeté oîomim...","Enfim, os moços escondem seus muito maus procedimentos.","Anch., Teatro, 38"
I îasear apŷabaíba...,Uniram-se os homens maus.,"Anch., Teatro, 54"
Eîori xe poîkatûabo.,Vem para me alimentar bem.,"Anch., Poemas, 134"
Ererobîápe îetanonga'uba?,Acreditas em falsas oferendas?,"Ar., Cat., 98v"
moroaûsubara 'yba...,princípio da compaixão,"Valente, Cantigas, VIII, in Ar., Cat., 1618"
Nde nhyrõ oré angaîpaba resé.,Perdoa tu nossas maldades.,"Anch. Doutr. Cristã, I, 139"
"...Na abá o aûsubar-y îanondé ruã, na abá o pysyrõ îanondé ruãne...","Não que alguém se compadecerá deles, não que alguém vá libertá-los.","Ar., Cat., 163v"
'araíba,mau ar,"Léry, Histoire, 359"
...I pyrybé perobîá...,Acreditai um pouco mais nele.,"Anch., Teatro, 56"
"O'u nhẽpe a'e 'ybá, tegûama, Tupã 'îaba?","Comeu aquele fruto, causa da morte, que Deus dissera?","Ar., Cat., 40v"
Kunhã-angaturama ababykagûere'yma...,"Mulher bondosa, uma virgem.","Ar., Cat., 22v"
"Opá i îeakypûereroîebyri, o atukupé pyterybo o'á ybype.","Todos eles voltaram para trás, caindo no chão de costas.","Ar., Cat., 54v"
...Nde ma'enduá xe ri!,Lembra-te de mim!,"Anch., Teatro, 176"
...Ó-mirĩ pupé ereîkó.,Dentro de uma casinha estás.,"Anch., Poemas, 128"
Yby opá ybytinga ybaka suí o'aryba'e i aso'iûne.,"A terra, todas as nuvens que caem do céu cobri-la-ão.","Ar., Cat., 7"
Aîapapûar.,Dobrei-o.,"VLB, I, 105"
"...“T'onhemomembek, t'onhemoapapu.”","...“Que se enfraqueça, que amoleça.”","Ar., Cat., 11"
Taba Roma 'îápe...,Na cidade chamada Roma.,"Ar., Cat., 6v"
Kotype muru amoingé...,Nas armadilhas fiz os malditos entrarem.,"Anch., Teatro, 48"
Perobîar-y-tepe aé Tupã?,Mas acreditais realmente em Deus?,"Anch., Doutr. Cristã, I, 157"
Ybytu îabé osunung...,Zune como o vento.,"Anch., Poemas, 190"
"Ta soryb, oputugûabo.","Que se alegrem, descansando.","Anch., Teatro, 58"
"...Manhana, sygûaraîy - n'aîpotari abá seîara. - Alcovitice, prostituição",não quero que ninguém as deixe.,"Anch., Teatro, 8"
Akapir.,Carpi.,"VLB, II, 41"
Îandé moetébo apŷaba nhemosaraî...,Para nos honrar os índios fazem festa.,"Anch., Teatro, 24"
Kunhã kuaûká i mena supé...,Acusando uma mulher para seu marido.,"Ar., Cat., 74"
'y-îebyra,remanso d'água,"VLB, II, 100"
Aîemĩngatu kó gûitupa...,"Escondo-me bem, estando deitado aqui...","Anch., Teatro, 32"
Ne'ĩ xe atuasar.,"Eia, meu aliado!","Léry, Histoire, 358"
Obok nde nhy'ã saûsuba resé.,Rompeu-se teu coração por amor a ele.,"Anch., Poemas, 120"
...N'onherani xûéne o îoupéne.,Não oporão resistência um ao outro.,"Anch., Doutr. Cristã, I, 228"
O îoybyri aîmoín. - Prendi-os um ao lado do outro. O îoyby-ybyri aîmoín.,Prendi-os uns ao lado dos outros.,"VLB, II, 85"
"...Gûyrá-sapukaîa îabé ereîetu'u... Nde atõî nhote abá, aûnhenhẽ eresó nde rokápe enhe'engá, nde rapopé moboka i xupé.","Como um galo te deitas. Somente te toca alguém, imediatamente vais para o teu terreiro para cantar, teu esporão arrebentando contra ele.","Anch., Doutr. Cristã, II, 111"
Osekyî kunhã maîé Karûara.,Invocam as mulheres o pajé Caruara.,"Anch., Teatro, 148"
"-Karaibebé serã, kó taba rarõaneté.","Talvez seja o anjo, guardião verdadeiro desta aldeia.","Anch., Teatro, 26"
...i 'ekatûaba kotysaba é...,"o que estava à sua direita (isto é, a companhia do lado da sua mão direita)","Anch., Diál. da Fé, 190"
i apé koty,"do lado de fora dele (p.ex., de um vaso, de algo que tenha lado interior e exterior)","VLB, I, 92"
u'upepó,"empenadura de flecha, isto é, penas de asas de pássaros que eram atadas às flechas","VLB, I, 112"
Sasy nakó ygá-pukuîa.,"É penoso, de fato, remar canoa.","VLB, II, 134"
...mosapyr mysã...,três dedos dos pés...,"Ar., Cat., 3"
Tynysẽ memẽ ygasaba... N'i apori kaûĩ resé...,Estão sempre cheias as igaçabas... Não abrem mão do cauim.,"Anch., Teatro, 34"
...'Y anhẽ monhangi kaûĩnamo...,A água transformou em vinho.,"Ar., Cat., 12"
"A'e ré, moxy rekóû pysaîé okybỹîa asá-asapa...","Depois disso, os malvados estão, a altas horas, atravessando o interior das ocas.","Anch., Teatro, 150"
yby tubyra,poeira da terra,"VLB, II, 80"
Aîta'y-me'eng Pedro.,Dou-lhe os filhos de Pedro.,"Anch., Arte, 50v"
